Results of first Grid Search for parameters 'activation', 'neurons' and 'batch_size'.
Size of training set was 145, with 20 training epochs.
Possible parameters were:
activation: ['softmax', 'softplus', 'softsign', 'relu', 'tanh', 'sigmoid', 'hard_sigmoid', 'linear']
neurons: [5, 6, ... , 20]
batch_size: [1, 10, 100, 145]

Best: 0.917892 using {'activation': 'softplus', 'neurons': 17, 'batch_size': 100}
0.718577 (0.071306) with: {'activation': 'sigmoid', 'neurons': 15, 'batch_size': 1}
0.791571 (0.099327) with: {'activation': 'sigmoid', 'neurons': 16, 'batch_size': 1}
0.811381 (0.097012) with: {'activation': 'sigmoid', 'neurons': 17, 'batch_size': 1}
0.799058 (0.054335) with: {'activation': 'sigmoid', 'neurons': 18, 'batch_size': 1}
0.745793 (0.176056) with: {'activation': 'sigmoid', 'neurons': 19, 'batch_size': 1}
0.713747 (0.034122) with: {'activation': 'sigmoid', 'neurons': 5, 'batch_size': 10}
0.789873 (0.057692) with: {'activation': 'sigmoid', 'neurons': 6, 'batch_size': 10}
0.803731 (0.064576) with: {'activation': 'sigmoid', 'neurons': 7, 'batch_size': 10}
0.741057 (0.084591) with: {'activation': 'sigmoid', 'neurons': 8, 'batch_size': 10}
0.807089 (0.054681) with: {'activation': 'sigmoid', 'neurons': 9, 'batch_size': 10}
0.771556 (0.117255) with: {'activation': 'sigmoid', 'neurons': 10, 'batch_size': 10}
0.831887 (0.088928) with: {'activation': 'sigmoid', 'neurons': 11, 'batch_size': 10}
0.773048 (0.073418) with: {'activation': 'sigmoid', 'neurons': 12, 'batch_size': 10}
0.826855 (0.087069) with: {'activation': 'sigmoid', 'neurons': 13, 'batch_size': 10}
0.764264 (0.097507) with: {'activation': 'sigmoid', 'neurons': 14, 'batch_size': 10}
0.789210 (0.050962) with: {'activation': 'sigmoid', 'neurons': 15, 'batch_size': 10}
0.766756 (0.033122) with: {'activation': 'sigmoid', 'neurons': 16, 'batch_size': 10}
0.818963 (0.085218) with: {'activation': 'sigmoid', 'neurons': 17, 'batch_size': 10}
0.830827 (0.085762) with: {'activation': 'sigmoid', 'neurons': 18, 'batch_size': 10}
0.811890 (0.080199) with: {'activation': 'sigmoid', 'neurons': 19, 'batch_size': 10}
0.631064 (0.118183) with: {'activation': 'sigmoid', 'neurons': 5, 'batch_size': 100}
0.856854 (0.032726) with: {'activation': 'sigmoid', 'neurons': 6, 'batch_size': 100}
0.737833 (0.083070) with: {'activation': 'sigmoid', 'neurons': 7, 'batch_size': 100}
0.663585 (0.099246) with: {'activation': 'sigmoid', 'neurons': 8, 'batch_size': 100}
0.730083 (0.113438) with: {'activation': 'sigmoid', 'neurons': 9, 'batch_size': 100}
0.566587 (0.114765) with: {'activation': 'sigmoid', 'neurons': 10, 'batch_size': 100}
0.680594 (0.111460) with: {'activation': 'sigmoid', 'neurons': 11, 'batch_size': 100}
0.772706 (0.085194) with: {'activation': 'sigmoid', 'neurons': 12, 'batch_size': 100}
0.860693 (0.071967) with: {'activation': 'sigmoid', 'neurons': 13, 'batch_size': 100}
0.587666 (0.079936) with: {'activation': 'sigmoid', 'neurons': 14, 'batch_size': 100}
0.781579 (0.110681) with: {'activation': 'sigmoid', 'neurons': 15, 'batch_size': 100}
0.718801 (0.134728) with: {'activation': 'sigmoid', 'neurons': 16, 'batch_size': 100}
0.837232 (0.091228) with: {'activation': 'sigmoid', 'neurons': 17, 'batch_size': 100}
0.843221 (0.062939) with: {'activation': 'sigmoid', 'neurons': 18, 'batch_size': 100}
0.854157 (0.018110) with: {'activation': 'sigmoid', 'neurons': 19, 'batch_size': 100}
0.665135 (0.160365) with: {'activation': 'sigmoid', 'neurons': 5, 'batch_size': 145}
0.808554 (0.072227) with: {'activation': 'sigmoid', 'neurons': 6, 'batch_size': 145}
0.865974 (0.060570) with: {'activation': 'sigmoid', 'neurons': 7, 'batch_size': 145}
0.804709 (0.053482) with: {'activation': 'sigmoid', 'neurons': 8, 'batch_size': 145}
0.762650 (0.116459) with: {'activation': 'sigmoid', 'neurons': 9, 'batch_size': 145}
0.825118 (0.038075) with: {'activation': 'sigmoid', 'neurons': 10, 'batch_size': 145}
0.777106 (0.031658) with: {'activation': 'sigmoid', 'neurons': 11, 'batch_size': 145}
0.848661 (0.116560) with: {'activation': 'sigmoid', 'neurons': 12, 'batch_size': 145}
0.823740 (0.087747) with: {'activation': 'sigmoid', 'neurons': 13, 'batch_size': 145}
0.829540 (0.076148) with: {'activation': 'sigmoid', 'neurons': 14, 'batch_size': 145}
0.784990 (0.123044) with: {'activation': 'sigmoid', 'neurons': 15, 'batch_size': 145}
0.874322 (0.069358) with: {'activation': 'sigmoid', 'neurons': 16, 'batch_size': 145}
0.818968 (0.087431) with: {'activation': 'sigmoid', 'neurons': 17, 'batch_size': 145}
0.852789 (0.022187) with: {'activation': 'sigmoid', 'neurons': 18, 'batch_size': 145}
0.821855 (0.072268) with: {'activation': 'sigmoid', 'neurons': 19, 'batch_size': 145}
0.528840 (0.020662) with: {'activation': 'hard_sigmoid', 'neurons': 5, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'hard_sigmoid', 'neurons': 6, 'batch_size': 1}
0.515047 (0.021390) with: {'activation': 'hard_sigmoid', 'neurons': 7, 'batch_size': 1}
0.569696 (0.085802) with: {'activation': 'hard_sigmoid', 'neurons': 8, 'batch_size': 1}
0.552461 (0.074577) with: {'activation': 'hard_sigmoid', 'neurons': 9, 'batch_size': 1}
0.581315 (0.068588) with: {'activation': 'hard_sigmoid', 'neurons': 10, 'batch_size': 1}
0.647566 (0.105106) with: {'activation': 'hard_sigmoid', 'neurons': 11, 'batch_size': 1}
0.575201 (0.079441) with: {'activation': 'hard_sigmoid', 'neurons': 12, 'batch_size': 1}
0.611799 (0.094746) with: {'activation': 'hard_sigmoid', 'neurons': 13, 'batch_size': 1}
0.741064 (0.113944) with: {'activation': 'hard_sigmoid', 'neurons': 14, 'batch_size': 1}
0.582375 (0.117102) with: {'activation': 'hard_sigmoid', 'neurons': 15, 'batch_size': 1}
0.599721 (0.111347) with: {'activation': 'hard_sigmoid', 'neurons': 16, 'batch_size': 1}
0.616690 (0.128177) with: {'activation': 'hard_sigmoid', 'neurons': 17, 'batch_size': 1}
0.616157 (0.153227) with: {'activation': 'hard_sigmoid', 'neurons': 18, 'batch_size': 1}
0.500000 (0.000000) with: {'activation': 'hard_sigmoid', 'neurons': 19, 'batch_size': 1}
0.694390 (0.138726) with: {'activation': 'hard_sigmoid', 'neurons': 5, 'batch_size': 10}
0.558968 (0.083827) with: {'activation': 'hard_sigmoid', 'neurons': 6, 'batch_size': 10}
0.646145 (0.123871) with: {'activation': 'hard_sigmoid', 'neurons': 7, 'batch_size': 10}
0.605836 (0.082118) with: {'activation': 'hard_sigmoid', 'neurons': 8, 'batch_size': 10}
0.600560 (0.110968) with: {'activation': 'hard_sigmoid', 'neurons': 9, 'batch_size': 10}
0.662103 (0.028604) with: {'activation': 'hard_sigmoid', 'neurons': 10, 'batch_size': 10}
0.708109 (0.126894) with: {'activation': 'hard_sigmoid', 'neurons': 11, 'batch_size': 10}
0.812329 (0.033502) with: {'activation': 'hard_sigmoid', 'neurons': 12, 'batch_size': 10}
0.742213 (0.171536) with: {'activation': 'hard_sigmoid', 'neurons': 13, 'batch_size': 10}
0.803674 (0.098688) with: {'activation': 'hard_sigmoid', 'neurons': 14, 'batch_size': 10}
0.741238 (0.183406) with: {'activation': 'hard_sigmoid', 'neurons': 15, 'batch_size': 10}
0.745725 (0.189461) with: {'activation': 'hard_sigmoid', 'neurons': 16, 'batch_size': 10}
0.586454 (0.079901) with: {'activation': 'hard_sigmoid', 'neurons': 17, 'batch_size': 10}
0.841821 (0.057566) with: {'activation': 'hard_sigmoid', 'neurons': 18, 'batch_size': 10}
0.685282 (0.122261) with: {'activation': 'hard_sigmoid', 'neurons': 19, 'batch_size': 10}
0.528309 (0.023614) with: {'activation': 'hard_sigmoid', 'neurons': 5, 'batch_size': 100}
0.490400 (0.013438) with: {'activation': 'hard_sigmoid', 'neurons': 6, 'batch_size': 100}
0.587742 (0.183827) with: {'activation': 'hard_sigmoid', 'neurons': 7, 'batch_size': 100}
0.691178 (0.078075) with: {'activation': 'hard_sigmoid', 'neurons': 8, 'batch_size': 100}
0.792424 (0.095510) with: {'activation': 'hard_sigmoid', 'neurons': 9, 'batch_size': 100}
0.616716 (0.165919) with: {'activation': 'hard_sigmoid', 'neurons': 10, 'batch_size': 100}
0.715534 (0.162397) with: {'activation': 'hard_sigmoid', 'neurons': 11, 'batch_size': 100}
0.741304 (0.135199) with: {'activation': 'hard_sigmoid', 'neurons': 12, 'batch_size': 100}
0.770769 (0.074229) with: {'activation': 'hard_sigmoid', 'neurons': 13, 'batch_size': 100}
0.679779 (0.140158) with: {'activation': 'hard_sigmoid', 'neurons': 14, 'batch_size': 100}
0.748492 (0.258637) with: {'activation': 'hard_sigmoid', 'neurons': 15, 'batch_size': 100}
0.795499 (0.061656) with: {'activation': 'hard_sigmoid', 'neurons': 16, 'batch_size': 100}
0.699110 (0.133826) with: {'activation': 'hard_sigmoid', 'neurons': 17, 'batch_size': 100}
0.882745 (0.022370) with: {'activation': 'hard_sigmoid', 'neurons': 18, 'batch_size': 100}
0.818258 (0.105197) with: {'activation': 'hard_sigmoid', 'neurons': 19, 'batch_size': 100}
0.740066 (0.147867) with: {'activation': 'hard_sigmoid', 'neurons': 5, 'batch_size': 145}
0.596325 (0.160811) with: {'activation': 'hard_sigmoid', 'neurons': 6, 'batch_size': 145}
0.627625 (0.069029) with: {'activation': 'hard_sigmoid', 'neurons': 7, 'batch_size': 145}
0.694157 (0.061203) with: {'activation': 'hard_sigmoid', 'neurons': 8, 'batch_size': 145}
0.489120 (0.015229) with: {'activation': 'hard_sigmoid', 'neurons': 9, 'batch_size': 145}
0.807844 (0.061764) with: {'activation': 'hard_sigmoid', 'neurons': 10, 'batch_size': 145}
0.775590 (0.066902) with: {'activation': 'hard_sigmoid', 'neurons': 11, 'batch_size': 145}
0.800995 (0.113168) with: {'activation': 'hard_sigmoid', 'neurons': 12, 'batch_size': 145}
0.816273 (0.073872) with: {'activation': 'hard_sigmoid', 'neurons': 13, 'batch_size': 145}
0.788638 (0.093659) with: {'activation': 'hard_sigmoid', 'neurons': 14, 'batch_size': 145}
0.568353 (0.038246) with: {'activation': 'hard_sigmoid', 'neurons': 15, 'batch_size': 145}
0.593713 (0.111968) with: {'activation': 'hard_sigmoid', 'neurons': 16, 'batch_size': 145}
0.752666 (0.107187) with: {'activation': 'hard_sigmoid', 'neurons': 17, 'batch_size': 145}
0.804609 (0.062240) with: {'activation': 'hard_sigmoid', 'neurons': 18, 'batch_size': 145}
0.812201 (0.079555) with: {'activation': 'hard_sigmoid', 'neurons': 19, 'batch_size': 145}
0.824326 (0.056577) with: {'activation': 'linear', 'neurons': 5, 'batch_size': 1}
0.827854 (0.060587) with: {'activation': 'linear', 'neurons': 6, 'batch_size': 1}
0.838650 (0.062107) with: {'activation': 'linear', 'neurons': 7, 'batch_size': 1}
0.828265 (0.067472) with: {'activation': 'linear', 'neurons': 8, 'batch_size': 1}
0.825058 (0.069725) with: {'activation': 'linear', 'neurons': 9, 'batch_size': 1}
0.844350 (0.054643) with: {'activation': 'linear', 'neurons': 10, 'batch_size': 1}
0.833113 (0.056539) with: {'activation': 'linear', 'neurons': 11, 'batch_size': 1}
0.821113 (0.059617) with: {'activation': 'linear', 'neurons': 12, 'batch_size': 1}
0.828274 (0.063933) with: {'activation': 'linear', 'neurons': 13, 'batch_size': 1}
0.832100 (0.051586) with: {'activation': 'linear', 'neurons': 14, 'batch_size': 1}
0.834093 (0.057029) with: {'activation': 'linear', 'neurons': 15, 'batch_size': 1}
0.822813 (0.062557) with: {'activation': 'linear', 'neurons': 16, 'batch_size': 1}
0.824728 (0.047204) with: {'activation': 'linear', 'neurons': 17, 'batch_size': 1}
0.824619 (0.057928) with: {'activation': 'linear', 'neurons': 18, 'batch_size': 1}
0.830861 (0.051892) with: {'activation': 'linear', 'neurons': 19, 'batch_size': 1}
0.848195 (0.068771) with: {'activation': 'linear', 'neurons': 5, 'batch_size': 10}
0.853589 (0.061795) with: {'activation': 'linear', 'neurons': 6, 'batch_size': 10}
0.841225 (0.055348) with: {'activation': 'linear', 'neurons': 7, 'batch_size': 10}
0.849496 (0.059890) with: {'activation': 'linear', 'neurons': 8, 'batch_size': 10}
0.847732 (0.047346) with: {'activation': 'linear', 'neurons': 9, 'batch_size': 10}
0.847424 (0.052580) with: {'activation': 'linear', 'neurons': 10, 'batch_size': 10}
0.837976 (0.062211) with: {'activation': 'linear', 'neurons': 11, 'batch_size': 10}
0.854596 (0.051267) with: {'activation': 'linear', 'neurons': 12, 'batch_size': 10}
0.838498 (0.054611) with: {'activation': 'linear', 'neurons': 13, 'batch_size': 10}
0.852058 (0.044626) with: {'activation': 'linear', 'neurons': 14, 'batch_size': 10}
0.846294 (0.041545) with: {'activation': 'linear', 'neurons': 15, 'batch_size': 10}
0.845471 (0.048028) with: {'activation': 'linear', 'neurons': 16, 'batch_size': 10}
0.845418 (0.051271) with: {'activation': 'linear', 'neurons': 17, 'batch_size': 10}
0.847250 (0.053387) with: {'activation': 'linear', 'neurons': 18, 'batch_size': 10}
0.849573 (0.044455) with: {'activation': 'linear', 'neurons': 19, 'batch_size': 10}
0.865823 (0.049385) with: {'activation': 'linear', 'neurons': 5, 'batch_size': 100}
0.882148 (0.040676) with: {'activation': 'linear', 'neurons': 6, 'batch_size': 100}
0.888287 (0.043570) with: {'activation': 'linear', 'neurons': 7, 'batch_size': 100}
0.888754 (0.044773) with: {'activation': 'linear', 'neurons': 8, 'batch_size': 100}
0.888807 (0.040526) with: {'activation': 'linear', 'neurons': 9, 'batch_size': 100}
0.887536 (0.036071) with: {'activation': 'linear', 'neurons': 10, 'batch_size': 100}
0.905687 (0.031378) with: {'activation': 'linear', 'neurons': 11, 'batch_size': 100}
0.897365 (0.049464) with: {'activation': 'linear', 'neurons': 12, 'batch_size': 100}
0.905787 (0.026412) with: {'activation': 'linear', 'neurons': 13, 'batch_size': 100}
0.901012 (0.041200) with: {'activation': 'linear', 'neurons': 14, 'batch_size': 100}
0.901635 (0.029874) with: {'activation': 'linear', 'neurons': 15, 'batch_size': 100}
0.912757 (0.039422) with: {'activation': 'linear', 'neurons': 16, 'batch_size': 100}
0.903238 (0.039645) with: {'activation': 'linear', 'neurons': 17, 'batch_size': 100}
0.908245 (0.035942) with: {'activation': 'linear', 'neurons': 18, 'batch_size': 100}
0.898861 (0.030879) with: {'activation': 'linear', 'neurons': 19, 'batch_size': 100}
0.866001 (0.065609) with: {'activation': 'linear', 'neurons': 5, 'batch_size': 145}
0.875017 (0.042088) with: {'activation': 'linear', 'neurons': 6, 'batch_size': 145}
0.878872 (0.036740) with: {'activation': 'linear', 'neurons': 7, 'batch_size': 145}
0.894600 (0.045582) with: {'activation': 'linear', 'neurons': 8, 'batch_size': 145}
0.893226 (0.049301) with: {'activation': 'linear', 'neurons': 9, 'batch_size': 145}
0.896935 (0.032559) with: {'activation': 'linear', 'neurons': 10, 'batch_size': 145}
0.896800 (0.037074) with: {'activation': 'linear', 'neurons': 11, 'batch_size': 145}
0.893200 (0.042370) with: {'activation': 'linear', 'neurons': 12, 'batch_size': 145}
0.896635 (0.032677) with: {'activation': 'linear', 'neurons': 13, 'batch_size': 145}
0.901113 (0.035849) with: {'activation': 'linear', 'neurons': 14, 'batch_size': 145}
0.896999 (0.042347) with: {'activation': 'linear', 'neurons': 15, 'batch_size': 145}
0.891361 (0.043408) with: {'activation': 'linear', 'neurons': 16, 'batch_size': 145}
0.891567 (0.046726) with: {'activation': 'linear', 'neurons': 17, 'batch_size': 145}
0.894274 (0.038568) with: {'activation': 'linear', 'neurons': 18, 'batch_size': 145}
0.887069 (0.034850) with: {'activation': 'linear', 'neurons': 19, 'batch_size': 145}
